id,timestamp,lat,lon,depth_dm,temp_cC,batt_mV,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,crc16,p_forrageio,comportamento
1,1705978800,749810,532029,536,2429,3977,-572,-824,-1128,246,223,-52,58606,0.3342,busca
1,1705979100,749949,532058,1135,2320,3998,86,-1117,-1464,265,141,-19,8708,0.2966,busca
1,1705979400,749946,532634,365,2448,3998,-721,-2457,-593,-112,118,17,9659,0.4143,busca
1,1705979700,749926,532431,1921,2134,3974,-1053,-177,-1214,-343,-167,-89,16566,0.4576,busca
1,1705980000,749862,532646,470,2464,3920,1079,-528,-154,-304,-334,55,23270,0.4121,busca
1,1705980300,749802,532740,644,2282,3961,870,-1702,-735,-188,13,163,14665,0.5915,busca
1,1705980600,749797,532684,427,2336,3979,2157,75,-303,154,-440,145,37293,0.4714,busca
1,1705980900,749837,532836,731,2368,3973,-115,130,342,-355,-262,102,32464,0.3036,busca
1,1705981200,749870,532451,955,2263,3939,-494,-132,-550,-50,149,-222,563,0.3943,busca
1,1705981500,749857,532620,1310,2196,3944,1979,-1301,-354,-199,-276,25,1941,0.4186,busca
1,1705981800,749938,532851,627,2352,3932,-627,-411,-432,155,243,233,41130,0.4108,busca
1,1705982100,749978,532679,1621,2211,3967,-754,-2330,-1692,8,94,-133,26877,0.471,busca
1,1705982400,749880,532366,665,2429,3930,-504,295,-915,-89,-15,95,7956,0.3385,busca
1,1705982700,749993,532666,574,2352,3983,1157,445,-1169,-96,255,-67,57012,0.4059,busca
1,1705983000,749950,532445,918,2358,3911,465,943,-923,189,-230,68,63533,0.4632,busca
1,1705983300,749939,532586,850,2393,3983,1171,-380,-909,41,-116,13,55324,0.4981,busca
1,1705983600,749828,532623,519,2388,3984,962,-1054,-1310,357,365,-50,14901,0.3551,busca
1,1705983900,749892,532753,1106,2383,3987,502,-46,-1052,-405,-176,-335,55278,0.4091,busca
1,1705984200,749865,533176,901,2285,3917,167,-850,-620,-244,-136,-70,48216,0.4975,busca
1,1705984500,749817,533452,389,2370,3952,-1439,711,-546,-213,131,185,53022,0.534,busca
1,1705984800,749823,533486,1067,2319,3906,-697,396,410,-73,-87,159,8621,0.492,busca
1,1705985100,749800,533308,1711,2121,3916,1467,279,-459,272,498,100,41379,0.3907,busca
1,1705985400,749851,532956,803,2281,3976,2625,1069,-1602,197,260,-54,35194,0.5521,busca
1,1705985700,749813,532928,1980,2065,3911,733,360,40,-121,223,85,19766,0.5074,busca
1,1705986000,749793,533030,1509,2073,3909,1042,588,-568,0,254,89,15997,0.3404,busca
1,1705986300,749710,532582,1441,2240,3940,82,520,304,-339,378,-20,57689,0.3711,busca
1,1705986600,749744,532786,1931,2135,3940,-471,-375,-973,37,159,-151,44531,0.3417,busca
1,1705986900,749638,532502,1466,2180,3990,-149,244,-646,131,-78,139,51309,0.456,busca
1,1705987200,749639,532717,954,2268,3912,753,712,-554,-218,208,5,56683,0.3127,busca
1,1705987500,749605,532515,523,2466,3941,680,-303,-1012,168,-52,-204,51250,0.5192,busca
1,1705987800,749608,532350,722,2369,3927,1216,-1022,-292,155,389,121,15783,0.5156,busca
1,1705988100,749606,532470,415,2418,3966,754,550,7,-24,238,-49,1203,0.4172,busca
1,1705988400,749580,532307,1303,2206,3989,-281,1079,-686,80,-77,116,57884,0.5408,busca
1,1705988700,749626,532423,1686,2177,3984,286,69,-343,-421,64,9,8119,0.4368,busca
1,1705989000,749685,532279,335,2483,3966,1869,-139,-211,-231,44,-306,46811,0.4389,busca
1,1705989300,749598,532063,663,2378,3911,1228,299,-968,43,-96,270,39732,0.5177,busca
1,1705989600,749591,532202,1277,2253,3959,773,148,-275,81,374,-15,21606,0.4199,busca
1,1705989900,749585,532023,480,2362,3973,567,-1185,-983,479,174,-214,18922,0.3895,busca
1,1705990200,749548,531861,1913,2068,3904,429,-128,-471,178,445,-337,10497,0.573,busca
1,1705990500,749551,531897,771,2370,3937,-856,415,-596,-83,130,-10,47584,0.4938,busca
1,1705990800,749543,531788,1872,2061,3929,3089,1519,-417,-239,118,-184,32963,0.5972,busca
1,1705991100,749517,531872,791,2306,3991,657,757,489,290,167,-80,17205,0.4401,busca
1,1705991400,749573,532034,1028,2295,3972,407,244,-365,50,-60,-107,8099,0.4604,busca
1,1705991700,749618,532243,376,2352,3996,936,-676,-1453,-88,341,-57,34252,0.4771,busca
1,1705992000,749613,532374,557,2489,3947,699,-922,-785,-254,-3,15,16253,0.6893,busca
1,1705992300,749586,532323,1119,2214,3906,-371,-368,-726,269,-16,-15,38301,0.5667,busca
1,1705992600,749560,532310,1619,2146,3972,-450,-865,-1023,56,211,2,24255,0.5273,busca
1,1705992900,749560,532455,1850,2155,3991,574,-756,-1308,429,-23,317,8254,0.4993,busca
1,1705993200,749465,532627,1970,2116,3969,-876,-340,-498,149,-147,139,1003,0.489,busca
1,1705993500,749491,532433,1116,2226,3908,-874,1036,-1127,-236,-143,-54,45890,0.498,busca
1,1705993800,749483,532233,926,2321,3921,1090,1185,-610,4,-236,106,3483,0.4819,busca
1,1705994100,749513,532283,764,2318,3944,-174,1153,-808,548,-296,-26,58244,0.4816,busca
1,1705994400,749453,532201,1722,2153,3967,-1219,1040,-52,199,334,-18,57217,0.4254,busca
1,1705994700,749415,532502,1111,2228,3908,-23,854,306,158,-97,-100,26327,0.4627,busca
1,1705995000,749387,532333,987,2323,3929,1345,-299,-1688,122,-182,101,55507,0.5376,busca
1,1705995300,749354,532294,1514,2183,3901,-674,1077,172,243,-41,-43,11591,0.4813,busca
1,1705995600,749419,532570,1957,2126,3957,720,-798,-6,-83,-564,53,41696,0.3459,busca
1,1705995900,749520,532335,976,2339,3961,311,946,-720,-94,91,119,15637,0.4952,busca
1,1705996200,749512,532086,1210,2243,3921,938,-946,-561,99,100,12,39306,0.5326,busca
1,1705996500,749526,532160,984,2314,3971,840,608,-630,48,433,228,15102,0.4421,busca
1,1705996800,749548,531800,365,2460,3970,-921,-370,-1055,136,-297,-241,38274,0.4966,busca
1,1705997100,749499,531707,940,2332,3980,-762,936,-1780,-213,-716,-158,14490,0.6066,forrageando
1,1705997400,749494,531763,316,2526,3976,734,3786,-1785,886,-108,198,45126,0.4174,forrageando
1,1705997700,749497,532053,461,2446,3947,397,-565,-508,480,-218,451,48008,0.6249,forrageando
1,1705998000,749461,531974,312,2418,3981,-3208,1701,-767,-628,131,344,36476,0.5739,forrageando
1,1705998300,749447,531868,1045,2351,3958,-165,1168,719,251,-84,419,2770,0.6462,forrageando
1,1705998600,749457,532053,587,2400,3973,1810,-1577,402,834,-324,1,26269,0.7466,forrageando
1,1705998900,749475,531950,1135,2252,3934,-2584,-2489,-2196,760,19,696,60177,0.6531,forrageando
1,1705999200,749451,531906,747,2342,3917,-2405,-3808,-1378,-776,-252,580,51778,0.676,forrageando
1,1705999500,749412,532010,1278,2257,3967,2073,3656,566,-43,-422,478,2378,0.4481,forrageando
1,1705999800,749336,531960,297,2420,3981,24,-5595,-2188,-109,-456,-320,3559,0.5837,forrageando
1,1706000100,749326,531858,823,2337,3928,1690,1388,-2976,-339,469,-44,8186,0.5133,forrageando
1,1706000400,749323,531950,5264,751,3930,-2826,-67,-408,-690,117,-175,21184,0.5752,forrageando
1,1706000700,749344,531982,7456,1011,3944,779,998,-1480,96,752,-73,41758,0.6873,forrageando
1,1706001000,749364,532068,6690,859,3981,-1332,-873,224,738,-125,-85,59176,0.4962,forrageando
1,1706001300,749452,532355,6585,781,3987,-161,1491,1249,-906,403,42,10380,0.4583,forrageando
1,1706001600,749440,532735,6623,824,3963,1240,-62,-287,717,-459,84,19777,0.6519,forrageando
1,1706001900,749408,532704,6343,880,3943,-3235,883,-3139,255,-100,-80,41589,0.4529,forrageando
1,1706002200,749411,532863,7311,889,3928,814,1942,207,-410,202,267,35270,0.5069,forrageando
1,1706002500,749394,533018,5636,766,3919,-1030,21,-2910,767,-266,481,53393,0.6129,forrageando
1,1706002800,749377,533045,3151,451,3932,-926,-2274,-243,-735,-117,-146,34446,0.4264,forrageando
1,1706003100,749375,532937,5232,795,3937,1360,50,-1333,-435,-196,154,61755,0.3901,forrageando
1,1706003400,749468,533083,2908,399,3955,1422,-2123,-3304,-387,-265,-258,56740,0.5097,forrageando
1,1706003700,749433,532983,7225,997,3967,-2356,1636,-975,43,94,1077,44627,0.651,forrageando
1,1706004000,749412,532974,5080,680,3977,-1018,-238,-1610,542,-291,-20,55906,0.5211,forrageando
1,1706004300,749388,532901,2429,386,3924,-1804,2035,-1123,-261,-536,-7,28313,0.4191,forrageando
1,1706004600,749415,533238,5371,838,3935,7,855,-860,-219,171,10,43673,0.6027,forrageando
1,1706004900,749465,533277,6820,856,3913,839,-2099,-2247,-205,-1033,-357,10725,0.5276,forrageando
1,1706005200,749455,533222,5997,850,3954,2536,1243,-1505,-904,426,-201,54865,0.5151,forrageando
1,1706005500,749489,533181,4883,587,3965,-1467,937,-180,-446,443,-146,5888,0.4788,forrageando
1,1706005800,749456,533108,3774,593,3998,-480,-4551,-431,-661,816,-246,5470,0.5043,forrageando
1,1706006100,749459,533025,2444,416,3910,-818,-901,-1032,-434,-1351,-61,41399,0.436,forrageando
1,1706006400,749443,533405,2355,478,3937,-1481,550,-1634,1064,236,-90,51316,0.5094,forrageando
1,1706006700,749454,533287,2848,545,3996,-2341,83,509,-293,325,307,19142,0.497,forrageando
1,1706007000,749449,532787,2252,471,3910,3809,-1594,-686,1005,-659,-248,12870,0.5245,forrageando
1,1706007300,749459,532829,2031,516,3980,-623,670,-247,559,-45,33,47166,0.5154,forrageando
1,1706007600,749465,532716,7809,983,3951,-557,-2484,-936,235,-419,-156,36504,0.4855,forrageando
1,1706007900,749489,532816,7751,897,3966,-1333,1213,-1817,378,710,-738,56241,0.4143,forrageando
1,1706008200,749594,532795,2312,459,3977,-246,1861,-839,144,-547,40,51495,0.5015,forrageando
1,1706008500,749579,532791,4465,612,3911,1240,-200,-569,-735,195,-69,63996,0.568,forrageando
1,1706008800,749560,532770,5738,816,3940,3406,-1165,-2288,202,87,-11,11752,0.5533,forrageando
1,1706009100,749548,532829,4500,670,3935,-666,532,-208,43,207,156,42741,0.4261,forrageando
1,1706009400,749550,532574,5246,800,3923,-3392,-937,446,391,-1279,-219,59559,0.4794,forrageando
1,1706009700,749539,532486,7651,915,3963,-573,-1999,-807,628,-131,295,54265,0.557,forrageando
1,1706010000,749551,532464,2397,476,3975,-1491,-115,-1408,318,60,71,36975,0.6123,forrageando
1,1706010300,749559,532432,6687,882,3900,-2329,-710,-1248,641,316,283,30222,0.517,forrageando
1,1706010600,749560,532516,6277,769,3900,1355,757,-1208,821,36,345,24207,0.5164,forrageando
1,1706010900,749587,532578,6642,904,3916,-209,546,-1644,-69,-675,376,15559,0.5389,forrageando
1,1706011200,749576,532621,6249,841,3964,2953,898,-1415,-80,-162,-174,29865,0.4133,forrageando
1,1706011500,749578,532436,5146,748,3910,738,-3061,338,-604,60,-118,46694,0.4067,forrageando
1,1706011800,749636,532216,4858,675,3936,976,2793,425,159,-74,-359,25487,0.4037,forrageando
1,1706012100,749658,532144,5183,740,3945,-3907,2228,-918,170,-502,-34,46994,0.4156,forrageando
1,1706012400,749539,532268,2428,459,3945,557,-1223,-858,-299,1006,58,48570,0.5291,forrageando
1,1706012700,749567,532106,7884,984,3921,-2115,-2599,-712,-397,-36,-300,3118,0.3607,forrageando
1,1706013000,749584,531869,2891,545,3981,830,-4094,-1449,1003,289,0,16887,0.5246,forrageando
1,1706013300,749575,531851,5502,750,3974,43,-937,-2229,459,492,18,52831,0.4759,forrageando
1,1706013600,749640,531600,7865,924,3903,-976,-3,-1614,462,-529,-229,14205,0.3532,forrageando
1,1706013900,749595,531647,6090,841,3976,-1822,-930,-2024,-85,-696,128,52302,0.4864,forrageando
1,1706014200,749649,531521,2393,372,3958,-3433,4632,-1121,-138,58,73,59467,0.4755,forrageando
1,1706014500,749582,531384,4596,651,3936,1591,1503,-2111,-607,165,284,56720,0.4373,forrageando
1,1706014800,749535,531511,5544,719,3951,3360,1072,-208,-787,60,-268,60794,0.5104,forrageando
1,1706015100,749550,531572,7189,932,3970,-5399,2707,-422,-671,-945,24,15846,0.3876,forrageando
1,1706015400,749526,531597,7887,925,3957,749,-603,-1635,64,-803,27,7241,0.4812,forrageando
1,1706015700,749573,531411,4862,725,3916,-2259,-3391,-1735,-1044,428,-137,48763,0.3923,forrageando
1,1706016000,749548,531138,7208,1011,3963,-3015,-880,-834,46,660,341,61870,0.4028,forrageando
1,1706016300,749572,531245,3566,570,3964,2433,-30,-2554,752,-372,-444,11083,0.5059,forrageando
1,1706016600,749562,531212,6137,872,3993,-148,119,-1993,272,595,-346,10324,0.4136,forrageando
1,1706016900,749549,531028,2085,320,3989,651,-743,-4244,-354,259,-390,9829,0.456,forrageando
1,1706017200,749519,530669,5987,806,3919,-1571,3619,-732,-874,-437,-324,13382,0.3912,forrageando
1,1706017500,749572,531215,3477,561,3935,-974,1332,194,-621,-234,195,40901,0.4225,forrageando
1,1706017800,749592,530962,3354,587,3957,-1573,1099,-747,-380,208,336,27075,0.5943,forrageando
1,1706018100,749575,531103,3548,552,3983,-110,496,-3025,139,500,-217,17145,0.2823,forrageando
1,1706018400,749596,531270,7412,924,3931,-422,149,700,799,-779,57,28151,0.3235,forrageando
1,1706018700,749479,531412,2869,1975,3921,701,360,-1169,134,21,84,21841,0.3341,busca
1,1706019000,749372,531424,1723,2175,3911,-83,32,-1605,-155,-198,148,21218,0.5166,busca
1,1706019300,749418,531523,149,2477,3979,156,147,-269,-24,91,-5,65319,0.2673,transitando
1,1706019600,749412,531059,213,2386,3930,1642,604,-212,65,-22,9,45016,0.3537,transitando
1,1706019900,749438,531343,380,2335,3987,1512,470,38,91,-119,36,56698,0.2645,transitando
1,1706020200,749408,530821,169,2503,3904,509,424,60,58,-53,1,42615,0.3361,transitando
1,1706020500,749291,531151,157,2479,3903,432,377,-23,114,-166,16,54523,0.3756,transitando
1,1706020800,749335,531289,490,2400,3924,1072,-539,-308,132,-164,-96,41226,0.4144,transitando
1,1706021100,749329,531051,84,2507,3968,752,422,262,-9,1,-23,28616,0.3771,transitando
1,1706021400,749298,531359,96,2514,3957,616,308,-116,-12,109,-13,18993,0.2652,transitando
1,1706021700,749165,531415,473,2454,3993,1189,-329,-117,-45,-64,-2,18892,0.4335,transitando
1,1706022000,749138,531649,489,2458,3944,1026,-263,-16,65,-11,-66,25729,0.2762,transitando
1,1706022300,749084,531927,106,2466,3941,1118,-16,-49,-226,95,-107,49570,0.3483,transitando
